foodId,label,category,foodContentsLabel,image
food_bzb3i0lbxkz4nnbv10dsladd965e,Inglenook  Champagne,Packaged foods,Dealcoholized Champagne; Water; Grape Juice Concentrate; Carbon Dioxide; Citric Acid; Potassium Benzoate; And Sulfur Dioxide; To Preserve Freshness,https://www.edamam.com/food-img/cb3/cb33b008dbd043800eadebc05310ea1a.jpg
food_bfcoawybqkrmrwad7nh90b5qohcy,Champagne Truffles,Packaged foods,DARK CHOCOLATE (SUGAR; CHOCOLATE LIQUOR PROCESSED WITH ALKALI; COCOA BUTTER; MILK FAT; SOY LECITHIN [EMULSIFIER]; NATURAL FLAVOR); WHITE CHOCOLATE (SUGAR; COCOA BUTTER; CHOCOLATE LIQUOR PROCESSED WITH ALKALI; COCOA BUTTER; MILK FAT; SOY LECITHIN [EMULSIFIER]; NATURAL FLAVOR); CREAM; CORN SYRUP; PALM OIL; INVERT SUGAR; CHAMPAGNE FLAVOR; RED 40 LAKE.,
food_a9ob0wubpy09wfazlw7ulaogfex3,Ginger Champagne Cocktail,Generic meals,water; sugar; ginger; vodka; lemon; candied ginger; sparkling wine,
food_aa6showa4xmkd6a7szhxtbvq3iax,Champagne Fruit Punch,Generic meals,oranges; figs; kiwi; dry white wine,
food_brtd7beak7p11iastcbh1a6wyz3q,Sherry or Champagne Vinegar,Generic foods,,https://www.edamam.com/food-img/5f6/5f69b84c399d778c4728e9ab4f8065a2.jpg
food_bnz9dkdb3w57d1a0i2931aawvf6z,Champagne Mix,Packaged foods,SUGAR; CORN SYRUP; NATURAL AND ARTIFICIAL FLAVOR; NATURAL PEPPERMINT OIL; NATURAL SPEARMINT OIL; SALT; TITANIUM DIOXIDE (FOR COLOR); ARTIFICIAL COLORS (RED 40; YELLOW 5; YELLOW 6; BLUE 1 AND RED 3).,
food_byl67wcbbfw82ua6j1n7oa6ago4a,Cola Champagne,Packaged foods,CARBONATED WATER; HIGH FRUCTOSE CORN SYRUP; ARTIFICIAL FLAVOR; FD&C YELLOW #6; FD&C YELLOW #5; CITRIC ACID.,https://www.edamam.com/food-img/f82/f82d164536a6df0792fddd9b1cb77f5e.jpg
food_b8hd68kblx0ovtbnf0elka54oogj,Cosmopolitan Champagne Cocktail,Generic meals,grand marnier; cranberry juice; lime juice; granulated sugar; sparkling wine,
food_a31qmvdbtiupa4brq19n7arj689p,Sparkling Champagne Cupcakes,Generic meals,butter; granulated sugar; eggs; vanilla; flour; baking soda; baking powder; salt; sour cream; sparkling wine; heavy cream; cornstarch; egg yolks; confectioners' sugar,
food_afyl89gbolcsknbnsqeqmbxmmgsp,Raspberry-Champagne Fizz,Generic meals,frozen raspberries; lemon juice; sugar; liqueur; vanilla ice cream; raspberries; sparkling wine,
food_bx41a5iaeyi8qdb0we6u3a8s78it,Champagne Poached Pears,Generic meals,orange; lemon rind; orange juice; sparkling wine; cinnamon stick; Bartlett pears; cloves,
food_bz5f0pcbp5bnaaat4grzwape8ba0,Strawberry Champagne Sorbet,Generic meals,Sugar; Strawberries; Lemon juice; Sparkling wine; Mint,
food_b3amnnhao9k4djba0154nbn4rquz,Cola Champagne,Packaged foods,CARBONATED WATER; HIGH FRUCTOSE CORN SYRUP; ARTIFICIAL FLAVOR; FD&C YELLOW #6; FD&C YELLOW #5; CITRIC ACID. ,
food_b3iaz2gav39j6abdpavjka0qgz2e,Cola Champagne,Packaged foods,CARBONATED WATER; HIGH FRUCTOSE CORN SYRUP; ARTIFICIAL FLAVOR; POTASSIUM BENZOATE (PRESERVATIVE); YELLOW #6; YELLOW #5.,https://www.edamam.com/food-img/b4b/b4b747a25b7f490f6894cb6693c5d4a5.jpg
food_bsbeowobyl44s5bdk7qntb4g39vv,Champagne Mix,Packaged foods,SUGAR; CORN SYRUP; CITRIC ACID; SALT; ARTIFICIAL AND NATURAL FLAVORS; NATURAL ANISE OIL; SWEETENED CONDENSED WHOLE MILK (WHOLE MILK; SUGAR); REDUCED MINERALS WHEY; PALM KERNEL OIL; BUTTER OIL; WHEY POWDER; SODIUM BICARBONATE; CHOCOLATE; COCOA POWDER; NATURAL PEPPERMINT OIL; MONO AND DIGLYCERIDES; HIGH FRUCTOSE CORN SYRUP; ARTIFICIAL COLORS (YELLOW 5; RED 40; BLUE 1; YELLOW 6 AND RED 3) AND SOY LECITHIN.,
food_b58idw8a2ci12racvoy9nao01puf,Grapes Champagne,Packaged foods,Grapes; Red Or Green; European Type; Such As Thompson Seedless; Raw,
food_bjdxlrvaogoliqa02spqeajr2tjb,Grapes Champagne,Packaged foods,Grapes; Red Or Green; European Type; Such As Thompson Seedless; Raw,
food_b152tp2bozj8h8auouttfbwpj54n,Blood Orange Champagne Cocktail,Generic meals,blood-orange juice; champagne,
food_akv1x0ia0l3qy9b5t1jruaja1nwx,"Champagne Potent Brain and Body Fuel, Champagne",Packaged foods,CARBONATED WATER; CITRIC ACID ANHYDROUS; NATURAL AND ARTIFICIAL FLAVORS; CAFFEINE ANHYDROUS; SODIUM BENZOATE; (PRESERVES FRESHNESS); POTASSIUM CITRATE MONOHYDRATE; SUCRALOSE; L-LEUCINE; POTASSIUM PHOSPHATE DIBASIC; VITAMIN C (ASCORBIC ACID); ACESULFAME POTASSIUM; POTASSIUM SORBATE (PRESERVES FRESHNESS); MAGNESIUM CHLORIDE; SUPER CREATINE (CREATYL-L-LEUCINE [CREATINE BONDED TO L-LEUCINE]); L-ISOLEUCINE; L-VALINE; CALCIUM CHLORIDE; CALCIUM DISODIUM EDTA; VITAMIN B3 (NIACINAMIDE); COQ10 (COENZYME Q10); VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE); AND VITAMIN B12 (METHYLCOBALAMIN).,
food_a173v6ra71if2ibn10hssbrxkn2q,White Chocolate Champagne Truffles,Generic meals,white chocolate; butter; lemon juice; powdered sugar; champagne,
food_bsck64rasshe3aag46w4dbq3ip81,Champagne Reserve Vinegar,Packaged foods,CHAMPAGNE VINEGAR,https://www.edamam.com/food-img/d2d/d2dcfa4b43a6ba7e87a250a0015b129a.jpg
food_ahwuxz1brdani2bbj2ewxanp786j,Strawberry Champagne Jello Shots,Generic meals,champagne; strawberry jello; gelatin,
food_asan9mfbbpstd3akq6ixsbxwlc92,Champagne Dill Mustard,Packaged foods,WATER; MUSTARD SEED; DISTILLED VINEGAR; SALT; WHITE WINE; CHAMPAGNE; DILL; CITRIC ACID; TARTARIC ACID; AND SPICES.,
food_be4vth3aqvl1dfaa3v8mqao4uaf3,Champagne Wine Vinegar,Packaged foods,CHAMPAGNE WINE VINEGAR.,
food_afarlinbuwme86bzycyc7bew34zz,"Champagne Cakes Premium Cupcake Mix, Champagne Cakes",Packaged foods,MIX INGREDIENTS: SUGAR; ENRICHED BLEACHED FLOUR (BLEACHED WHEAT FLOUR; NIACIN; IRON; THIAMINE MONONITRATE; RIBOFLAVIN; FOLIC ACID); VEGETABLE SHORTENING ([CONTAINS ONE OR MORE OF THE FOLLOWING: PALM OIL AND/OR SOYBEAN OIL]; PROPYLENE GLYCOL MONO AND DIESTERS; MONO AND DIGLYCERIDES; SOY LECITHIN; CITRIC ACID [PRESERVATIVE]); MODIFIED CORN STARCH; LEAVENING (BAKING SODA; SODIUM ALUMINUM PHOSPHATE; MONOCALCIUM PHOSPHATE); CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: SALT; DEXTROSE; ARTIFICIAL FLAVOR; XANTHAN GUM. SANDING SUGAR INGREDIENTS: SUGAR; CARNAUBA WAX; YELLOW 5; YELLOW 6; BLUE 2; RED 40 AND CONFECTIONERS GLAZE.,
food_bihciaoa9s251rb04o0f3ba8xthu,Grande Champagne Vinegar,Packaged foods,WHITE WINE GRANDE CHAMPAGNE; PRESERVATIVE: POTASSIUM HYDROGEN SULPHITE.,
food_b3xmpgnbrsw71fbds7zydbdrwuqr,Fine Champagne Truffles,Packaged foods,VEGETABLE OIL (PALM KERNEL OIL; PALM OIL); SUGAR; LOW FAT COCOA; WHEY POWDER; FINE CHAMPAGNE COGNAC; GELLING AGENT: XANTHAN; COCOA POWDER; EMULSIFIER: SOY LECITHIN; NATURAL FLAVOR; NATURAL VANILLA FLAVOR.,
food_b6ev4s3a3q8shsa5gogksboy9gdl,Champagne Pear Vinegar,Packaged foods,CHAMPAGNE WINE VINEGAR (5% ACIDITY; CONTAINS SULFITES); PEAR PUREE (PEARS; CANE SUGAR; NATURAL PEAR FLAVOR; MALIC AND ASCORBIC ACIDS); ORGANIC SUGAR AND NATURAL FLAVOR.,
food_b2y7rqqan02gndal9taplb4idv5j,Girard's Champagne Vinaigrette,Packaged foods,Canola and Soybean Oil; White Wine; Contains Sulfites; Water; Vinegars; Champagne and White Wine; Sugar; Salt; Mustard Seed; Monosodium Glutamate; Garlic*; Onion*; Spice; Xanthan Gum; Molasses; Calcium Disodium EDTA Added To Protect Flavor; Chives*; Tamarind; *Dried,https://www.edamam.com/food-img/189/18997efa765ffd1db2231aa91e7d99e8
food_b2exrzmbb6rq7za4wsvoeaga4q09,Champagne Vinaigrette Dressing,Packaged foods,CANOLA OIL; HONEY; CHAMPAGNE VINEGAR; WATER; DIJON MUSTARD (VINEGAR; WATER; MUSTARD SEED; SALT; WHITE WINE; CITRIC ACID; TARTARIC ACID; SPICES); RICE WINE VINEGAR; CRUSHED CAPERS (CAPERS; WATER; VINEGAR; SALT); CONCENTRATED GRAPE JUICE; GARLIC PUREE (GARLIC; CITRIC ACID); SALT; SPICES; MIXED TOCOPHEROLS (ANTIOXIDANT - VITAMIN E).,https://www.edamam.com/food-img/c08/c085cc31e247dc12ddb45e2ed8c461ba.jpg
food_bietzsbaa6h197aty5b69bwho396,Dolcezza Champagne Mango,Packaged foods,MANGO;  WATER;  SUGAR;  LIME;  DEXTROSE;  GUM ACACIA;  GUAR GUM;  XANTHAN GUM;  SALT,
food_bg8cs0fbw4ton1aas0st1aj298wi,Champagne Punch Concentrate,Packaged foods,HIGH FRUCTOSE CORN SYRUP; WATER; LESS THAN 2%: PINEAPPLE JUICE CONCENTRATE; ORANGE JUICE CONCENTRATE; GRAPEFRUIT JUICE CONCENTRATE; CITRIC ACID; ESTER GUM; PROPYLENE GLYCOL; TRAGACANTH GUM; XANTHAN GUM; ORANGE OIL; SODIUM CARBOXYMETHYLCELLULOSE; NATURAL FLAVORS; CARAMEL COLOR; SODIUM BENZOATE AND POTASSIUM SORBATE (PRESERVATIVES); RED 40; YELLOW 5; YELLOW 6.,
food_amnli9abr1zmzoa4dmlycb1wb47d,Champagne Ardenne Vinegar,Packaged foods,WHITE WINE VINEGAR.,
food_bt550ykbdd5z58adr3zn9bo448h5,Kola Champagne Syrup,Packaged foods,SUGAR; WATER; ARTIFICIAL FOOD FLAVOURS; CITRIC ACID (ACIDULANT); FD&C YELLOW #6; SODIUM BENZOATE (PRESERVATIVE).,
food_bigcd00bbt77wnb18swn1bgo7jlp,Super a Champagne Cola,Packaged foods,TRIPLE FILTERED CARBONATED WATER; HIGH FRUCTOSE CORN SYRUP; NATURAL AND ARTIFICIAL FLAVORS; CITRIC ACID; FD&C YELLOW #6; SODIUM BENZOATE(A PRESERVATIVE).,https://www.edamam.com/food-img/ab7/ab75996978d579a0b6b163ea3ffb63ff.png
food_b1tzszgbuv8j5hblpht2wbwt1yje,Chicken With Truffles and Champagne Sauce,Generic meals,all purpose flour; chicken; unsalted butter; extra-virgin olive oil; shallots; white wine; bay leaf; green beans; celery root; carrots; egg yolks; truffle,
food_aukmerfao918xwbzk3m2db826yl4,Raspberry Black Pepper Champagne Cocktail,Generic meals,water; sugar; raspberries; oranges; vodka; champagne; turbinado sugar; black pepper; lemon; thyme sprigs,
food_bh8puc9bsjwlnob6zgcbeavt2stn,Couronne Fruit Champagne,Packaged foods,CARBONATED WATER; SUGAR; CITRIC ACID; SODIUM BENZOATE (AS PRESERVATIVE); SODIUM SACCHARINE; NATURAL AND ARTIFICIAL FLAVORS; COLOR.,https://www.edamam.com/food-img/963/9633e24decdc42ed674fdc787623b492.png
food_asqzh3lbahn2m1boa0z41bgsuism,"Cuzcatlan, Cola Champagne",Packaged foods,CARBONATED WATER; SUGAR; AND/OR CORN SWEETENER; ARTIFICIAL FLAVOR AND COLOR (INCLUDES FD&C YELLOW #6); TARTRAZINE; CITRIC ACID; PRESERVED WITH SODIUM BENZOATE.,
food_b015tfvbcen9eyb1an579apjxee9,"Sugarfina, Champagne Bubbles",Packaged foods,SUGAR; CORN SYRUP; CORN STARCH; KOSHER GELATIN; CONTAINS 2% OR LESS OF THE FOLLOWING: CITRUS PECTIN; SODIUM CITRATE; CITRIC ACID; TARTARIC ACID; NATURAL AND ARTIFICIAL FLAVORS; COLOR ADDED.,
food_ac5e5wqax3nrllbhdqkhha1t11ux,Reims Champagne Vinegar,Packaged foods,WINE VINEGAR,
food_a018jypanp7afrair5k6lbhipum3,"Champagne Truffle & Strawberry Truffle Chocolates, Champagne Truffle & Strawberry Truffle",Packaged foods,MILK CHOCOLATE (SUGAR; WHOLE MILK; COCOA BUTTER; CHOCOLATE; SOY LECITHIN (EMULSIFIER); VANILLIN (ARTIFICIAL FLAVOR)}; PASTEL COATING {SUGAR; PALM KERNEL OIL; NONFAT DRY MILK WHOLE MILK POWDER; HYDROGENATED PALM OIL; SOY LECITHIN (EMULSIFIER); VANILLIN (ARTIFICIAL FLAVOR); SALT); INVERT SUGAR; SORBITOL; NATURAL CHAMPAGNE FLAVOR; NATURAL STRAWBERRY FLAVOR; SALT; TARTARIC ACID; CITRIC ACID; FD&C COLOR (RED 40) AND SODIUM BENZOATE (PRESERVATIVE).,
food_b1is32lbc3ha81ahka6kfbj0umx2,Grande Champagne Wine Vinegar,Packaged foods,GRANDE CHAMPAGNE WINE VINEGAR.,
food_br8kttlae8gulgb4q19u2bxk7zsq,"Salad Bar, Champagne Vinaigrette",Fast foods,,
food_bhge2qca0h3rfvbnxn14sa9ols37,Champagne Punch With Raspberry and Orange Liqueur,Generic meals,sugar; ground ginger; champagne; grape juice; raspberry liqueur; orange; raspberries; fresh ginger,
food_atiqtraahw7yulamkttyyaguv817,"o, Champagne Vinegar, Pomegranate",Packaged foods,CHAMPAGNE WINE VINEGAR; POMEGRANATES ACIDITY 6%; CONTAINS NATURALLY OCCURRING SULFITES,https://www.edamam.com/food-img/21f/21f3831f2b3883ebecd178aba26a49d7.jpg
food_byv9q2wa3h1vo9bf53x1nb6lxb89,"Strawberry Champagne Spread, Strawberry",Packaged foods,STRAWBERRIES; PURE CANE SUGAR; WATER; CALIFORNIA CHAMPAGNE; CITRIC ACID; PECTIN,
